"21","113","21978","999999","date","other"
"2","2","1","0","2017-10-27","0"
"17","17","6","1","2017-11-10","0"
"17","17","6","1","2017-11-24","0"
"11","11","4","0","2017-12-08","0"
"16","16","5","","2017-12-22","0"
"13","13","4","","2018-01-05","0"
"14","14","5","","2018-01-19","0"
"11","11","4","","2018-02-02","0"
"16","16","5","","2018-02-16","0"
"13","13","4","","2018-03-02","0"
"11","11","4","","2018-03-16","0"
"13","13","4","","2018-03-30","0"
"11","11","4","","2018-04-13","0"
"22","22","7","","2018-04-27","0"
"22","22","7","","2018-05-11","0"
"22","22","7","","2018-05-25","0"
"22","22","7","","2018-06-08","0"
"22","22","7","","2018-06-22","0"
"22","22","7","","2018-07-06","0"
"22","22","7","","2018-07-20","0"
"22","22","7","","2018-08-03","0"
"22","22","7","","2018-08-17","0"
"22","22","7","","2018-08-31","0"
"22","22","7","","2018-09-14","0"
"22","22","7","","2018-09-28","0"
"22","22","7","","2018-10-12","0"
"22","22","7","","2018-10-26","0"
"22","22","7","","2018-11-09","0"
"22","22","7","","2018-11-23","0"
"22","22","7","","2018-12-07","0"
"22","22","7","","2018-12-21","0"
"22","23","8","","2019-01-04","0"
"22","23","8","","2019-01-18","0"
"22","23","8","","2019-02-01","0"
"22","23","8","","2019-02-15","0"
"22","23","8","","2019-03-01","0"
"8","8","3","","2019-03-15","0"
"5","5","2","","2019-03-29","0"
"20","21","7","","2019-04-12","0"
"22","23","9","","2019-04-26","0"
"8","8","3","","2019-05-10","0"
"16","16","6","","2019-05-24","0"
"24","25","10","","2019-06-07","0"
"22","23","9","","2019-06-21","0"
"22","23","9","","2019-07-05","0"
"25","26","10","","2019-07-19","0"
"22","23","9","","2019-08-02","0"
"20","21","8","","2019-08-16","0"
"24","25","10","","2019-08-30","0"
"20","21","8","","2019-09-13","0"
"22","23","9","","2019-09-27","0"
"27","28","11","","2019-10-11","0"
"22","23","9","","2019-10-25","0"
"24","25","11","","2019-11-08","0"
"20","21","9","","2019-11-22","0"
"24","25","11","","2019-12-06","0"
"28","30","13","","2019-12-20","0"
"25","26","11","","2020-01-03","0"
"25","26","11","","2020-01-17","0"
"25","26","11","","2020-01-31","0"
"24","25","11","","2020-02-14","0"
"25","26","11","","2020-02-28","0"
"22","23","10","","2020-03-13","0"
"24","25","11","","2020-03-27","0"
"20","21","9","","2020-04-10","0"
"19","20","9","","2020-04-24","0"
"22","23","10","","2020-05-08","0"
"22","23","10","","2020-05-22","0"
"27","28","12","","2020-06-05","0"
"28","30","13","","2020-06-19","0"
"22","23","10","","2020-07-03","0"
"19","20","9","","2020-07-17","0"
"22","23","10","","2020-07-31","0"
"24","25","11","","2020-08-14","0"
"24","25","11","","2020-08-28","0"
"20","21","9","","2020-09-11","0"
"20","21","9","","2020-09-25","0"
"27","28","12","","2020-10-09","0"
"25","26","11","","2020-10-23","0"
"31","33","14","","2020-11-06","0"
"25","26","11","","2020-11-20","0"
"33","35","15","","2020-12-04","0"
"25","26","11","","2020-12-18","0"
"20","21","9","","2021-01-01","0"
"27","28","12","","2021-01-15","0"
"28","30","13","","2021-01-29","0"
"20","21","9","","2021-02-12","0"
"25","26","11","","2021-02-26","0"
"22","23","10","","2021-03-12","0"
"22","23","10","","2021-03-26","0"
"22","23","10","","2021-04-09","0"
"25","26","11","","2021-04-23","0"
"22","23","10","","2021-05-07","0"
"22","23","10","","2021-05-21","0"
