"492","599","1664","date","other"
"15","16","","2018-02-02","0"
"20","21","","2018-02-16","0"
"20","21","","2018-03-02","0"
"15","16","","2018-03-16","0"
"21","22","","2018-03-30","0"
"17","19","1","2018-04-13","0"
"25","27","5","2018-04-27","0"
"25","27","5","2018-05-11","0"
"25","27","5","2018-05-25","0"
"25","27","5","2018-06-08","0"
"25","27","5","2018-06-22","0"
"25","27","5","2018-07-06","0"
"23","25","5","2018-07-20","0"
"25","27","5","2018-08-03","0"
"25","27","5","2018-08-17","0"
"26","28","6","2018-08-31","0"
"26","28","6","2018-09-14","0"
"26","28","6","2018-09-28","0"
"26","28","6","2018-10-12","0"
"26","28","6","2018-10-26","0"
"26","28","6","2018-11-09","0"
"26","28","6","2018-11-23","0"
"27","29","7","2018-12-07","0"
"27","29","7","2018-12-21","0"
"27","29","7","2019-01-04","0"
"25","27","7","2019-01-18","0"
"27","29","7","2019-02-01","0"
"27","29","7","2019-02-15","0"
"27","29","7","2019-03-01","0"
"10","10","3","2019-03-15","0"
"4","4","1","2019-03-29","0"
"27","29","7","2019-04-12","0"
"27","29","7","2019-04-26","0"
"10","10","3","2019-05-10","0"
"19","21","6","2019-05-24","0"
"29","32","9","2019-06-07","0"
"29","32","9","2019-06-21","0"
"33","36","10","2019-07-05","0"
"27","30","8","2019-07-19","0"
"29","32","9","2019-08-02","0"
"25","28","7","2019-08-16","0"
"31","34","9","2019-08-30","0"
"27","30","8","2019-09-13","0"
"27","30","8","2019-09-27","0"
"25","28","7","2019-10-11","0"
"27","30","8","2019-10-25","0"
"27","30","8","2019-11-08","0"
"29","32","9","2019-11-22","0"
"29","32","9","2019-12-06","0"
"33","36","10","2019-12-20","0"
"29","32","9","2020-01-03","0"
"33","36","10","2020-01-17","0"
"23","26","7","2020-01-31","0"
"29","32","9","2020-02-14","0"
"27","30","8","2020-02-28","0"
"27","30","8","2020-03-13","0"
"29","32","9","2020-03-27","0"
"27","30","8","2020-04-10","0"
"27","30","8","2020-04-24","0"
"27","30","8","2020-05-08","0"
"37","41","11","2020-05-22","0"
"31","34","9","2020-06-05","0"
"27","30","8","2020-06-19","0"
"31","34","9","2020-07-03","0"
"27","30","8","2020-07-17","0"
"29","32","9","2020-07-31","0"
"23","26","7","2020-08-14","0"
"25","28","7","2020-08-28","0"
"33","36","10","2020-09-11","0"
"31","34","9","2020-09-25","0"
"25","28","7","2020-10-09","0"
"35","39","10","2020-10-23","0"
"33","36","10","2020-11-06","0"
"29","32","9","2020-11-20","0"
"35","39","10","2020-12-04","0"
"25","28","7","2020-12-18","0"
"35","39","10","2021-01-01","0"
"27","30","8","2021-01-15","0"
"35","39","10","2021-01-29","0"
"14","15","4","2021-02-12","0"
"27","30","8","2021-02-26","0"
"27","30","8","2021-03-12","0"
"27","30","8","2021-03-26","0"
"29","32","9","2021-04-09","0"
"31","34","9","2021-04-23","0"
"27","30","8","2021-05-07","0"
"29","32","9","2021-05-21","0"
