"113","599","3964","date","other"
"11","10","","2017-03-03","0"
"19","17","","2017-03-17","0"
"22","20","","2017-03-31","0"
"22","20","","2017-04-14","0"
"22","20","","2017-04-28","0"
"22","20","","2017-05-12","0"
"22","20","","2017-05-26","0"
"21","19","","2017-06-09","0"
"23","21","","2017-06-23","0"
"24","21","","2017-07-07","0"
"22","20","","2017-07-21","0"
"21","18","","2017-08-04","0"
"21","18","","2017-08-18","0"
"12","11","","2017-09-01","0"
"14","12","","2017-09-15","0"
"15","14","","2017-09-29","0"
"17","15","","2017-10-13","0"
"12","11","","2017-10-27","0"
"15","14","","2017-11-10","0"
"12","11","","2017-11-24","0"
"12","11","","2017-12-08","0"
"15","14","","2017-12-22","0"
"19","17","","2018-01-05","0"
"14","12","","2018-01-19","0"
"14","12","","2018-02-02","0"
"12","11","","2018-02-16","0"
"19","17","","2018-03-02","0"
"14","13","","2018-03-16","0"
"12","11","","2018-03-30","0"
"15","14","","2018-04-13","0"
"24","22","","2018-04-27","0"
"24","22","","2018-05-11","0"
"24","22","","2018-05-25","0"
"22","20","","2018-06-08","0"
"25","22","","2018-06-22","0"
"25","22","","2018-07-06","0"
"25","22","","2018-07-20","0"
"25","22","4","2018-08-03","0"
"25","22","5","2018-08-17","0"
"25","22","5","2018-08-31","0"
"25","22","5","2018-09-14","0"
"25","22","5","2018-09-28","0"
"25","22","5","2018-10-12","0"
"25","22","5","2018-10-26","0"
"25","22","5","2018-11-09","0"
"25","22","5","2018-11-23","0"
"25","22","5","2018-12-07","0"
"25","22","5","2018-12-21","0"
"25","22","5","2019-01-04","0"
"23","20","5","2019-01-18","0"
"25","22","5","2019-02-01","0"
"25","22","5","2019-02-15","0"
"25","22","5","2019-03-01","0"
"9","8","2","2019-03-15","0"
"7","6","1","2019-03-29","0"
"23","20","5","2019-04-12","0"
"25","22","5","2019-04-26","0"
"7","6","1","2019-05-10","0"
"30","16","4","2019-05-24","0"
"42","23","6","2019-06-07","0"
"42","23","6","2019-06-21","0"
"48","26","7","2019-07-05","0"
"36","20","5","2019-07-19","0"
"42","23","6","2019-08-02","0"
"45","25","6","2019-08-16","0"
"45","25","6","2019-08-30","0"
"42","23","6","2019-09-13","0"
"45","25","6","2019-09-27","0"
"45","25","6","2019-10-11","0"
"42","23","6","2019-10-25","0"
"36","20","5","2019-11-08","0"
"51","28","7","2019-11-22","0"
"42","23","6","2019-12-06","0"
"45","25","6","2019-12-20","0"
"51","28","7","2020-01-03","0"
"42","23","6","2020-01-17","0"
"45","25","6","2020-01-31","0"
"42","23","6","2020-02-14","0"
"42","23","6","2020-02-28","0"
"36","20","5","2020-03-13","0"
"42","23","6","2020-03-27","0"
"45","25","6","2020-04-10","0"
"42","23","6","2020-04-24","0"
"42","23","6","2020-05-08","0"
"39","21","6","2020-05-22","0"
"45","25","6","2020-06-05","0"
"42","23","6","2020-06-19","0"
"45","25","6","2020-07-03","0"
"36","20","5","2020-07-17","0"
"51","28","7","2020-07-31","0"
"36","20","5","2020-08-14","0"
"42","23","6","2020-08-28","0"
"45","25","6","2020-09-11","0"
"36","20","5","2020-09-25","0"
"42","23","6","2020-10-09","0"
"54","30","8","2020-10-23","0"
"45","25","6","2020-11-06","0"
"45","25","6","2020-11-20","0"
"45","25","6","2020-12-04","0"
"45","25","6","2020-12-18","0"
"39","21","6","2021-01-01","0"
"51","28","7","2021-01-15","0"
"51","28","7","2021-01-29","0"
"30","16","4","2021-02-12","0"
"45","25","6","2021-02-26","0"
"42","23","6","2021-03-12","0"
"42","23","6","2021-03-26","0"
"42","23","6","2021-04-09","0"
"42","23","6","2021-04-23","0"
"42","23","6","2021-05-07","0"
"45","25","6","2021-05-21","0"
