"122","4434","5577","date","other"
"6","","2","2018-03-15","0"
"13","","3","2018-03-29","0"
"13","","3","2018-04-12","0"
"22","","6","2018-04-26","0"
"22","","6","2018-05-10","0"
"22","","6","2018-05-24","0"
"22","","6","2018-06-07","0"
"22","","6","2018-06-21","0"
"22","","7","2018-07-05","0"
"22","","7","2018-07-19","0"
"22","","7","2018-08-02","0"
"22","","7","2018-08-16","0"
"22","","7","2018-08-30","0"
"22","","7","2018-09-13","0"
"22","","7","2018-09-27","0"
"22","","7","2018-10-11","0"
"22","","7","2018-10-25","0"
"22","","7","2018-11-08","0"
"22","","7","2018-11-22","0"
"22","","7","2018-12-06","0"
"22","","7","2018-12-20","0"
"22","","8","2019-01-03","0"
"22","","8","2019-01-17","0"
"22","","8","2019-01-31","0"
"22","","9","2019-02-14","0"
"22","","9","2019-02-28","0"
"9","","4","2019-03-14","0"
"22","","9","2019-04-11","0"
"22","","9","2019-04-25","0"
"9","","4","2019-05-09","0"
"19","5","6","2019-05-23","0"
"29","7","9","2019-06-06","0"
"31","8","10","2019-06-20","0"
"33","8","10","2019-07-04","0"
"29","7","9","2019-07-18","0"
"29","7","9","2019-08-01","0"
"27","7","8","2019-08-15","0"
"31","8","10","2019-08-29","0"
"29","7","9","2019-09-12","0"
"29","7","9","2019-09-26","0"
"29","7","9","2019-10-10","0"
"29","7","9","2019-10-24","0"
"27","7","8","2019-11-07","0"
"27","7","8","2019-11-21","0"
"29","7","9","2019-12-05","0"
"35","9","11","2019-12-19","0"
"31","8","10","2020-01-02","0"
"29","7","9","2020-01-16","0"
"29","7","9","2020-01-30","0"
"27","7","8","2020-02-13","0"
"10","3","3","2020-02-27","0"
"8","2","3","2020-03-12","0"
"29","7","9","2020-03-26","0"
"27","7","8","2020-04-09","0"
"27","7","8","2020-04-23","0"
"29","7","9","2020-05-07","0"
"29","7","9","2020-05-21","0"
"29","7","9","2020-06-04","0"
"29","7","9","2020-06-18","0"
"29","7","9","2020-07-02","0"
"25","6","8","2020-07-16","0"
"37","9","12","2020-07-30","0"
"27","7","8","2020-08-13","0"
"27","7","8","2020-08-27","0"
"29","7","9","2020-09-10","0"
"29","7","9","2020-09-24","0"
"33","8","10","2020-10-08","0"
"29","7","9","2020-10-22","0"
"37","9","12","2020-11-05","0"
"35","9","11","2020-11-19","0"
"31","8","10","2020-12-03","0"
"39","10","12","2020-12-17","0"
"29","7","9","2020-12-31","0"
"35","9","11","2021-01-14","0"
"37","9","12","2021-01-28","0"
"19","5","6","2021-02-11","0"
"29","7","9","2021-02-25","0"
"29","7","9","2021-03-11","0"
"29","7","9","2021-03-25","0"
"31","8","10","2021-04-08","0"
"31","8","10","2021-04-22","0"
"29","7","9","2021-05-06","0"
"31","8","10","2021-05-20","0"
