"87","493","784","21978","776177","999999","date","other"
"16","18","8","8","7","0","2017-12-07","0"
"22","25","11","11","10","","2017-12-21","0"
"22","25","11","11","10","","2018-01-04","0"
"22","25","11","11","10","","2018-01-18","0"
"20","23","10","10","9","","2018-02-01","0"
"20","23","10","10","9","","2018-02-15","0"
"22","25","11","11","10","","2018-03-01","0"
"20","23","10","10","9","","2018-03-15","0"
"20","23","10","10","9","","2018-03-29","0"
"22","25","11","11","10","","2018-04-12","0"
"22","25","11","11","10","","2018-04-26","0"
"22","25","11","11","10","","2018-05-10","0"
"22","25","11","12","10","","2018-05-24","0"
"22","25","11","12","10","","2018-06-07","0"
"22","25","11","12","10","","2018-06-21","0"
"22","25","11","12","10","","2018-07-05","0"
"22","45","11","12","10","","2018-07-19","0"
"22","46","11","12","10","","2018-08-02","0"
"22","46","12","12","10","","2018-08-16","0"
"22","46","12","12","10","","2018-08-30","0"
"22","46","12","12","10","","2018-09-13","0"
"22","46","12","12","10","","2018-09-27","0"
"22","46","12","12","10","","2018-10-11","0"
"22","46","12","12","10","","2018-10-25","0"
"22","46","12","12","10","","2018-11-08","0"
"22","46","12","12","10","","2018-11-22","0"
"22","46","12","12","10","","2018-12-06","0"
"22","46","12","12","10","","2018-12-20","0"
"22","46","12","12","10","","2019-01-03","0"
"22","46","12","12","10","","2019-01-17","0"
"22","46","12","12","10","","2019-01-31","0"
"22","46","12","12","10","","2019-02-14","0"
"22","46","12","12","10","","2019-02-28","0"
"19","39","10","10","9","","2019-03-14","0"
"17","36","9","9","8","","2019-03-28","0"
"22","46","12","12","10","","2019-04-11","0"
"22","46","12","12","10","","2019-04-25","0"
"9","20","5","5","4","","2019-05-09","0"
"13","26","7","7","6","","2019-05-23","0"
"22","46","12","12","10","","2019-06-06","0"
"22","46","12","12","10","","2019-06-20","0"
"22","46","12","12","10","","2019-07-04","0"
"27","56","15","15","12","","2019-07-18","0"
"24","49","13","13","11","","2019-08-01","0"
"20","43","11","11","9","","2019-08-15","0"
"20","43","12","11","9","","2019-08-29","0"
"22","46","13","12","10","","2019-09-12","0"
"24","49","14","13","11","","2019-09-26","0"
"27","56","16","15","12","","2019-10-10","0"
"22","46","13","12","10","","2019-10-24","0"
"21","44","12","12","9","","2019-11-07","0"
"25","50","14","14","11","","2019-11-21","0"
"23","47","13","13","10","","2019-12-05","0"
"26","54","15","15","11","","2019-12-19","0"
"26","54","15","15","11","","2020-01-02","0"
"23","47","13","13","10","","2020-01-16","0"
"23","30","13","13","10","","2020-01-30","0"
"25","23","14","14","11","","2020-02-13","0"
"25","23","14","14","11","","2020-02-27","0"
"21","20","12","12","9","","2020-03-12","0"
"23","21","13","13","10","","2020-03-26","0"
"21","20","12","12","9","","2020-04-09","0"
"21","20","12","12","9","","2020-04-23","0"
"25","23","14","14","11","","2020-05-07","0"
"21","20","12","12","9","","2020-05-21","0"
"26","24","15","15","11","","2020-06-04","0"
"23","21","13","13","10","","2020-06-18","0"
"26","24","15","15","11","","2020-07-02","0"
"20","18","11","11","9","","2020-07-16","0"
"23","21","13","13","10","","2020-07-30","0"
"23","21","13","13","10","","2020-08-13","0"
"23","21","13","13","10","","2020-08-27","0"
"25","23","14","14","11","","2020-09-10","0"
"23","21","13","13","10","","2020-09-24","0"
"23","21","13","13","10","","2020-10-08","0"
"25","23","14","14","11","","2020-10-22","0"
"23","21","13","13","10","","2020-11-05","0"
"23","21","13","13","10","","2020-11-19","0"
"23","21","13","13","10","","2020-12-03","0"
"28","26","16","16","12","","2020-12-17","0"
"21","20","12","12","9","","2020-12-31","0"
"23","21","13","13","10","","2021-01-14","0"
"25","23","14","14","11","","2021-01-28","0"
"15","14","8","8","6","","2021-02-11","0"
"25","23","14","14","11","","2021-02-25","0"
"23","21","13","13","10","","2021-03-11","0"
"25","23","14","14","11","","2021-03-25","0"
"25","23","14","14","11","","2021-04-08","0"
"23","21","13","13","10","","2021-04-22","0"
"23","21","13","13","10","","2021-05-06","0"
"23","21","13","13","10","","2021-05-20","0"
