"19","21","122","492","date","other"
"20","20","19","20","2018-06-20","0"
"21","21","20","21","2018-07-04","0"
"21","21","20","21","2018-07-18","0"
"21","21","20","21","2018-08-01","0"
"21","21","20","21","2018-08-15","0"
"21","21","20","21","2018-08-29","0"
"21","21","20","21","2018-09-12","0"
"21","21","20","21","2018-09-26","0"
"21","21","20","21","2018-10-10","0"
"21","21","20","21","2018-10-24","0"
"21","21","20","21","2018-11-07","0"
"21","21","20","21","2018-11-21","0"
"21","21","20","21","2018-12-05","0"
"21","21","20","21","2018-12-19","0"
"21","21","20","21","2019-01-02","0"
"21","21","20","21","2019-01-16","0"
"21","21","20","21","2019-01-30","0"
"21","21","20","21","2019-02-13","0"
"21","21","20","21","2019-02-27","0"
"11","11","10","11","2019-03-13","0"
"3","3","3","3","2019-03-27","0"
"20","20","19","20","2019-04-10","0"
"21","21","20","21","2019-04-24","0"
"11","11","10","11","2019-05-08","0"
"12","12","11","12","2019-05-22","0"
"24","24","23","24","2019-06-05","0"
"21","21","20","21","2019-06-19","0"
"21","21","20","21","2019-07-03","0"
"23","23","21","23","2019-07-17","0"
"21","21","20","21","2019-07-31","0"
"20","20","19","20","2019-08-14","0"
"21","21","20","21","2019-08-28","0"
"23","23","21","23","2019-09-11","0"
"21","21","20","21","2019-09-25","0"
"23","23","21","23","2019-10-09","0"
"20","20","19","20","2019-10-23","0"
"21","21","20","21","2019-11-06","0"
"23","23","21","23","2019-11-20","0"
"23","23","21","23","2019-12-04","0"
"24","24","23","24","2019-12-18","0"
"21","21","20","21","2020-01-01","0"
"21","21","20","21","2020-01-15","0"
"21","21","20","21","2020-01-29","0"
"30","30","29","30","2020-02-12","0"
"31","31","30","31","2020-02-26","0"
"33","33","32","33","2020-03-11","0"
"33","33","32","33","2020-03-25","0"
"31","31","30","31","2020-04-08","0"
"31","31","30","31","2020-04-22","0"
"31","31","30","31","2020-05-06","0"
"29","29","28","29","2020-05-20","0"
"35","35","34","35","2020-06-03","0"
"33","33","32","33","2020-06-17","0"
"29","29","28","29","2020-07-01","0"
"31","31","30","31","2020-07-15","0"
"38","38","36","38","2020-07-29","0"
"31","31","30","31","2020-08-12","0"
"29","29","28","29","2020-08-26","0"
"42","42","41","42","2020-09-09","0"
"35","35","34","35","2020-09-23","0"
"33","33","32","33","2020-10-07","0"
"29","29","28","29","2020-10-21","0"
"38","38","36","38","2020-11-04","0"
"44","44","43","44","2020-11-18","0"
"42","42","41","42","2020-12-02","0"
"31","31","30","31","2020-12-16","0"
"44","44","43","44","2020-12-30","0"
"35","35","34","35","2021-01-13","0"
"31","31","30","31","2021-01-27","0"
"20","20","19","20","2021-02-10","0"
"38","38","36","38","2021-02-24","0"
"31","31","30","31","2021-03-10","0"
"31","31","30","31","2021-03-24","0"
"31","31","30","31","2021-04-07","0"
"31","31","30","31","2021-04-21","0"
"31","31","30","31","2021-05-05","0"
