"492","597","1625","date","other"
"6","6","1","2017-07-07","0"
"22","21","5","2017-07-21","0"
"19","18","4","2017-08-04","0"
"19","18","4","2017-08-18","0"
"13","12","3","2017-09-01","0"
"14","14","3","2017-09-15","0"
"13","12","3","2017-09-29","0"
"17","17","4","2017-10-13","0"
"13","12","3","2017-10-27","0"
"13","12","3","2017-11-10","0"
"13","12","3","2017-11-24","0"
"11","11","3","2017-12-08","0"
"14","14","3","2017-12-22","0"
"16","15","4","2018-01-05","0"
"13","12","3","2018-01-19","0"
"14","14","3","2018-02-02","0"
"13","12","3","2018-02-16","0"
"19","18","4","2018-03-02","0"
"14","14","3","2018-03-16","0"
"13","12","3","2018-03-30","0"
"11","11","3","2018-04-13","0"
"22","21","5","2018-04-27","0"
"22","21","5","2018-05-11","0"
"22","21","5","2018-05-25","0"
"22","21","5","2018-06-08","0"
"22","21","5","2018-06-22","0"
"22","21","5","2018-07-06","0"
"22","21","5","2018-07-20","0"
"22","21","5","2018-08-03","0"
"22","21","5","2018-08-17","0"
"22","21","5","2018-08-31","0"
"22","21","5","2018-09-14","0"
"22","21","5","2018-09-28","0"
"22","21","5","2018-10-12","0"
"22","21","5","2018-10-26","0"
"22","21","5","2018-11-09","0"
"22","21","5","2018-11-23","0"
"22","21","5","2018-12-07","0"
"22","21","5","2018-12-21","0"
"22","21","5","2019-01-04","0"
"22","21","5","2019-01-18","0"
"22","21","5","2019-02-01","0"
"22","21","5","2019-02-15","0"
"22","21","5","2019-03-01","0"
"11","11","3","2019-03-15","0"
"6","6","1","2019-03-29","0"
"20","20","5","2019-04-12","0"
"22","21","5","2019-04-26","0"
"6","6","1","2019-05-10","0"
"16","15","4","2019-05-24","0"
"24","23","5","2019-06-07","0"
"22","21","5","2019-06-21","0"
"22","21","5","2019-07-05","0"
"22","21","5","2019-07-19","0"
"20","20","5","2019-08-02","0"
"20","20","5","2019-08-16","0"
"20","20","5","2019-08-30","0"
"21","20","5","2019-09-13","0"
"23","21","6","2019-09-27","0"
"23","21","6","2019-10-11","0"
"23","21","6","2019-10-25","0"
"20","18","5","2019-11-08","0"
"25","23","6","2019-11-22","0"
"23","21","6","2019-12-06","0"
"23","21","6","2019-12-20","0"
"21","20","6","2020-01-03","0"
"25","23","6","2020-01-17","0"
"25","23","6","2020-01-31","0"
"23","21","6","2020-02-14","0"
"20","18","5","2020-02-28","0"
"25","23","6","2020-03-13","0"
"62","60","6","2020-03-27","0"
"54","52","6","2020-04-10","0"
"54","52","6","2020-04-24","0"
"58","56","6","2020-05-08","0"
"54","52","6","2020-05-22","0"
"58","56","6","2020-06-05","0"
"58","56","6","2020-06-19","0"
"58","56","6","2020-07-03","0"
"54","52","6","2020-07-17","0"
"54","52","6","2020-07-31","0"
"50","48","5","2020-08-14","0"
"66","64","7","2020-08-28","0"
"54","52","6","2020-09-11","0"
"66","64","7","2020-09-25","0"
"58","56","6","2020-10-09","0"
"58","56","6","2020-10-23","0"
"70","68","7","2020-11-06","0"
"70","68","7","2020-11-20","0"
"66","64","7","2020-12-04","0"
"58","56","6","2020-12-18","0"
"62","60","6","2021-01-01","0"
"62","60","6","2021-01-15","0"
"75","72","8","2021-01-29","0"
"54","52","6","2021-02-12","0"
"66","64","7","2021-02-26","0"
"58","56","6","2021-03-12","0"
"58","56","6","2021-03-26","0"
"58","56","6","2021-04-09","0"
"58","56","6","2021-04-23","0"
"58","56","6","2021-05-07","0"
"58","56","6","2021-05-21","0"
