"19","492","597","date","other"
"3","3","3","2020-07-29","0"
"21","21","21","2020-08-12","0"
"20","20","20","2020-08-26","0"
"20","20","20","2020-09-09","0"
"26","26","26","2020-09-23","0"
"21","21","21","2020-10-07","0"
"21","21","21","2020-10-21","0"
"26","26","26","2020-11-04","0"
"30","30","30","2020-11-18","0"
"29","29","29","2020-12-02","0"
"24","24","24","2020-12-16","0"
"26","26","26","2020-12-30","0"
"29","29","29","2021-01-13","0"
"26","26","26","2021-01-27","0"
"12","12","12","2021-02-10","0"
"24","24","24","2021-02-24","0"
"21","21","21","2021-03-10","0"
"21","21","21","2021-03-24","0"
"21","21","21","2021-04-07","0"
"21","21","21","2021-04-21","0"
"21","21","21","2021-05-05","0"
