"113","492","597","21978","999999","date","other"
"13","12","12","4","1","2017-03-17","0"
"23","22","22","8","1","2017-03-31","0"
"23","22","22","8","1","2017-04-14","0"
"23","22","22","8","1","2017-04-28","0"
"23","22","22","8","1","2017-05-12","0"
"23","22","22","9","1","2017-05-26","0"
"21","20","20","8","1","2017-06-09","0"
"23","22","22","9","1","2017-06-23","0"
"23","22","22","10","1","2017-07-07","0"
"23","22","22","10","1","2017-07-21","0"
"20","19","19","9","1","2017-08-04","0"
"20","19","19","9","1","2017-08-18","0"
"12","11","11","5","1","2017-09-01","0"
"15","14","14","6","1","2017-09-15","0"
"13","13","13","6","1","2017-09-29","0"
"16","16","16","7","1","2017-10-13","0"
"13","13","13","6","1","2017-10-27","0"
"15","14","14","6","1","2017-11-10","0"
"13","13","13","6","1","2017-11-24","0"
"16","16","16","7","0","2017-12-08","0"
"15","14","14","6","","2017-12-22","0"
"15","14","14","6","","2018-01-05","0"
"18","17","17","8","","2018-01-19","0"
"12","11","11","5","","2018-02-02","0"
"13","13","13","6","","2018-02-16","0"
"15","14","14","6","","2018-03-02","0"
"13","13","13","6","","2018-03-16","0"
"13","13","13","6","","2018-03-30","0"
"16","16","16","7","","2018-04-13","0"
"23","22","22","10","","2018-04-27","0"
"23","22","22","10","","2018-05-11","0"
"23","22","22","10","","2018-05-25","0"
"21","20","20","9","","2018-06-08","0"
"23","22","22","10","","2018-06-22","0"
"23","22","22","10","","2018-07-06","0"
"23","22","22","10","","2018-07-20","0"
"23","22","22","10","","2018-08-03","0"
"23","22","22","10","","2018-08-17","0"
"23","22","22","10","","2018-08-31","0"
"23","22","22","10","","2018-09-14","0"
"23","22","22","10","","2018-09-28","0"
"23","22","22","10","","2018-10-12","0"
"23","22","22","10","","2018-10-26","0"
"23","22","22","10","","2018-11-09","0"
"23","22","22","10","","2018-11-23","0"
"23","22","22","10","","2018-12-07","0"
"23","22","22","10","","2018-12-21","0"
"24","22","22","11","","2019-01-04","0"
"24","22","22","11","","2019-01-18","0"
"24","22","22","11","","2019-02-01","0"
"24","22","22","11","","2019-02-15","0"
"24","22","22","11","","2019-03-01","0"
"9","8","8","4","","2019-03-15","0"
"9","8","8","4","","2019-03-29","0"
"22","20","20","10","","2019-04-12","0"
"24","22","22","12","","2019-04-26","0"
"7","6","6","3","","2019-05-10","0"
"17","16","16","9","","2019-05-24","0"
"27","25","25","14","","2019-06-07","0"
"22","20","20","11","","2019-06-21","0"
"26","24","24","13","","2019-07-05","0"
"26","24","24","13","","2019-07-19","0"
"24","22","22","12","","2019-08-02","0"
"22","20","20","11","","2019-08-16","0"
"24","22","22","12","","2019-08-30","0"
"22","20","20","11","","2019-09-13","0"
"24","22","22","12","","2019-09-27","0"
"24","22","22","12","","2019-10-11","0"
"26","24","24","13","","2019-10-25","0"
"21","19","19","10","","2019-11-08","0"
"24","22","22","12","","2019-11-22","0"
"24","22","22","13","","2019-12-06","0"
"26","24","24","14","","2019-12-20","0"
"29","27","27","16","","2020-01-03","0"
"24","22","22","13","","2020-01-17","0"
"24","22","22","13","","2020-01-31","0"
"24","22","22","13","","2020-02-14","0"
"24","22","22","13","","2020-02-28","0"
"22","20","20","12","","2020-03-13","0"
"26","24","24","14","","2020-03-27","0"
"26","24","24","14","","2020-04-10","0"
"22","20","20","12","","2020-04-24","0"
"24","22","22","13","","2020-05-08","0"
"24","22","22","13","","2020-05-22","0"
"26","24","24","14","","2020-06-05","0"
"24","22","22","13","","2020-06-19","0"
"26","24","24","14","","2020-07-03","0"
"26","24","24","14","","2020-07-17","0"
"34","31","31","19","","2020-07-31","0"
"24","22","22","13","","2020-08-14","0"
"24","22","22","13","","2020-08-28","0"
"29","27","27","16","","2020-09-11","0"
"26","24","24","14","","2020-09-25","0"
"24","22","22","13","","2020-10-09","0"
"29","27","27","16","","2020-10-23","0"
"30","27","27","17","","2020-11-06","0"
"31","27","27","17","","2020-11-20","0"
"26","22","22","15","","2020-12-04","0"
"30","25","25","18","","2020-12-18","0"
"25","20","20","15","","2021-01-01","0"
"39","31","31","23","","2021-01-15","0"
"31","25","25","18","","2021-01-29","0"
"19","16","16","11","","2021-02-12","0"
"33","27","27","19","","2021-02-26","0"
"25","20","20","15","","2021-03-12","0"
"27","22","22","16","","2021-03-26","0"
"27","22","22","16","","2021-04-09","0"
"29","24","24","17","","2021-04-23","0"
"29","22","22","17","","2021-05-07","0"
"29","22","22","17","","2021-05-21","0"
