"492","597","599","6650","date","other"
"19","20","18","18","2017-02-17","0"
"23","24","22","22","2017-03-03","0"
"20","21","19","19","2017-03-17","0"
"23","24","22","22","2017-03-31","0"
"23","24","22","22","2017-04-14","0"
"23","24","22","22","2017-04-28","0"
"23","24","22","22","2017-05-12","0"
"23","24","22","22","2017-05-26","0"
"21","22","20","20","2017-06-09","0"
"23","24","22","23","2017-06-23","0"
"23","24","22","23","2017-07-07","0"
"21","22","20","21","2017-07-21","0"
"20","21","19","20","2017-08-04","0"
"20","21","19","19","2017-08-18","0"
"12","12","11","11","2017-09-01","0"
"15","15","14","14","2017-09-15","0"
"15","15","14","14","2017-09-29","0"
"18","19","17","17","2017-10-13","0"
"12","12","11","11","2017-10-27","0"
"13","14","12","13","2017-11-10","0"
"15","15","14","14","2017-11-24","0"
"13","14","12","13","2017-12-08","0"
"15","15","14","14","2017-12-22","0"
"15","15","14","14","2018-01-05","0"
"12","12","11","11","2018-01-19","0"
"13","14","12","13","2018-02-02","0"
"15","16","14","14","2018-02-16","0"
"19","20","17","17","2018-03-02","0"
"14","14","13","13","2018-03-16","0"
"12","13","11","11","2018-03-30","0"
"19","20","17","17","2018-04-13","0"
"24","25","22","22","2018-04-27","0"
"24","25","22","22","2018-05-11","0"
"24","25","22","22","2018-05-25","0"
"22","23","20","20","2018-06-08","0"
"24","25","22","22","2018-06-22","0"
"24","25","22","22","2018-07-06","0"
"24","25","22","22","2018-07-20","0"
"24","25","22","22","2018-08-03","0"
"24","25","22","22","2018-08-17","0"
"24","25","22","22","2018-08-31","0"
"24","25","22","22","2018-09-14","0"
"27","29","25","25","2018-09-28","0"
"24","25","22","22","2018-10-12","0"
"24","25","22","22","2018-10-26","0"
"24","25","22","22","2018-11-09","0"
"24","25","22","22","2018-11-23","0"
"24","25","22","22","2018-12-07","0"
"24","25","22","22","2018-12-21","0"
"24","25","22","22","2019-01-04","0"
"24","25","22","22","2019-01-18","0"
"24","25","22","22","2019-02-01","0"
"24","25","22","22","2019-02-15","0"
"24","25","22","22","2019-03-01","0"
"12","13","11","11","2019-03-15","0"
"5","5","5","5","2019-03-29","0"
"22","23","20","20","2019-04-12","0"
"24","25","22","22","2019-04-26","0"
"9","9","8","8","2019-05-10","0"
"20","34","17","17","2019-05-24","0"
"26","43","22","22","2019-06-07","0"
"26","43","22","22","2019-06-21","0"
"28","46","24","24","2019-07-05","0"
"28","46","24","24","2019-07-19","0"
"28","46","24","24","2019-08-02","0"
"22","37","19","19","2019-08-16","0"
"28","46","24","24","2019-08-30","0"
"24","40","20","20","2019-09-13","0"
"28","46","24","24","2019-09-27","0"
"30","49","25","25","2019-10-11","0"
"30","49","25","25","2019-10-25","0"
"22","37","19","19","2019-11-08","0"
"28","46","24","24","2019-11-22","0"
"26","43","22","22","2019-12-06","0"
"32","52","27","27","2019-12-20","0"
"24","40","20","20","2020-01-03","0"
"24","40","20","20","2020-01-17","0"
"26","43","22","22","2020-01-31","0"
"26","43","22","22","2020-02-14","0"
"28","46","24","24","2020-02-28","0"
"32","52","27","27","2020-03-13","0"
"35","58","30","30","2020-03-27","0"
"26","43","22","22","2020-04-10","0"
"24","40","20","20","2020-04-24","0"
"26","43","22","22","2020-05-08","0"
"28","46","24","24","2020-05-22","0"
"26","43","22","22","2020-06-05","0"
"28","46","24","24","2020-06-19","0"
"26","43","22","22","2020-07-03","0"
"24","40","20","20","2020-07-17","0"
"43","71","36","36","2020-07-31","0"
"24","40","20","20","2020-08-14","0"
"33","55","28","28","2020-08-28","0"
"39","65","33","33","2020-09-11","0"
"35","58","30","30","2020-09-25","0"
"33","55","28","28","2020-10-09","0"
"33","55","28","28","2020-10-23","0"
"26","43","22","22","2020-11-06","0"
"30","49","25","25","2020-11-20","0"
"30","49","25","25","2020-12-04","0"
"32","52","27","27","2020-12-18","0"
"26","43","22","22","2021-01-01","0"
"32","52","27","27","2021-01-15","0"
"28","46","24","24","2021-01-29","0"
"20","34","17","17","2021-02-12","0"
"30","49","25","25","2021-02-26","0"
"26","43","22","22","2021-03-12","0"
"28","46","24","24","2021-03-26","0"
"26","43","22","22","2021-04-09","0"
"28","46","24","24","2021-04-23","0"
"28","46","24","24","2021-05-07","0"
"26","43","22","22","2021-05-21","0"
