"599","701","21978","999999","date","other"
"6","6","2","0","2018-03-15","0"
"12","13","3","1","2018-03-29","0"
"17","17","5","1","2018-04-12","0"
"21","22","6","1","2018-04-26","0"
"21","22","6","1","2018-05-10","0"
"23","24","6","1","2018-05-24","0"
"21","22","6","1","2018-06-07","0"
"21","22","6","1","2018-06-21","0"
"21","22","6","1","2018-07-05","0"
"21","22","6","1","2018-07-19","0"
"21","22","6","1","2018-08-02","0"
"21","22","6","1","2018-08-16","0"
"21","22","6","1","2018-08-30","0"
"21","22","6","1","2018-09-13","0"
"21","22","6","1","2018-09-27","0"
"21","22","6","1","2018-10-11","0"
"21","22","6","1","2018-10-25","0"
"21","22","6","1","2018-11-08","0"
"21","22","6","1","2018-11-22","0"
"21","22","6","1","2018-12-06","0"
"21","22","6","1","2018-12-20","0"
"21","22","6","1","2019-01-03","0"
"21","22","6","1","2019-01-17","0"
"21","22","6","1","2019-01-31","0"
"21","22","6","1","2019-02-14","0"
"21","22","6","1","2019-02-28","0"
"11","11","3","1","2019-03-14","0"
"3","3","1","0","2019-03-28","0"
"20","20","6","1","2019-04-11","0"
"21","22","6","1","2019-04-25","0"
"8","8","3","0","2019-05-09","0"
"14","15","5","1","2019-05-23","0"
"24","26","8","1","2019-06-06","0"
"23","25","8","1","2019-06-20","0"
"21","23","7","1","2019-07-04","0"
"21","23","7","1","2019-07-18","0"
"21","23","7","1","2019-08-01","0"
"21","23","7","1","2019-08-15","0"
"21","23","7","1","2019-08-29","0"
"20","21","7","1","2019-09-12","0"
"21","23","7","1","2019-09-26","0"
"21","23","7","1","2019-10-10","0"
"21","23","7","1","2019-10-24","0"
"18","20","6","1","2019-11-07","0"
"23","25","8","1","2019-11-21","0"
"21","23","8","1","2019-12-05","0"
"24","26","9","1","2019-12-19","0"
"23","25","9","1","2020-01-02","0"
"27","30","10","1","2020-01-16","0"
"21","23","8","1","2020-01-30","0"
"21","23","8","1","2020-02-13","0"
"29","31","11","1","2020-02-27","0"
"20","21","7","1","2020-03-12","0"
"23","25","9","1","2020-03-26","0"
"20","21","7","1","2020-04-09","0"
"23","25","9","1","2020-04-23","0"
"21","23","8","1","2020-05-07","0"
"20","21","7","1","2020-05-21","0"
"23","25","9","1","2020-06-04","0"
"21","23","8","1","2020-06-18","0"
"29","31","11","1","2020-07-02","0"
"21","23","8","1","2020-07-16","0"
"30","33","11","1","2020-07-30","0"
"17","18","6","1","2020-08-13","0"
"21","23","8","1","2020-08-27","0"
"23","25","9","1","2020-09-10","0"
"20","21","7","1","2020-09-24","0"
"20","21","7","1","2020-10-08","0"
"23","25","9","1","2020-10-22","0"
"27","30","10","1","2020-11-05","0"
"27","30","10","1","2020-11-19","0"
"27","30","10","1","2020-12-03","0"
"24","26","9","1","2020-12-17","0"
"30","33","11","1","2020-12-31","0"
"26","28","10","1","2021-01-14","0"
"32","35","12","2","2021-01-28","0"
"14","15","5","1","2021-02-11","0"
"21","23","8","1","2021-02-25","0"
"21","23","8","1","2021-03-11","0"
"21","23","8","1","2021-03-25","0"
"21","23","8","1","2021-04-08","0"
"23","25","9","1","2021-04-22","0"
"23","25","9","1","2021-05-06","0"
"21","23","8","1","2021-05-20","0"
