"19","21","492","597","1625","date","other"
"7","7","7","7","2","2018-03-16","0"
"15","15","15","16","4","2018-03-30","0"
"16","17","16","18","4","2018-04-13","0"
"23","24","23","25","6","2018-04-27","0"
"23","24","23","25","6","2018-05-11","0"
"23","24","23","25","6","2018-05-25","0"
"21","22","21","23","6","2018-06-08","0"
"23","24","23","25","6","2018-06-22","0"
"23","24","23","25","6","2018-07-06","0"
"23","24","23","25","6","2018-07-20","0"
"23","24","23","25","6","2018-08-03","0"
"23","24","23","25","6","2018-08-17","0"
"25","26","25","27","6","2018-08-31","0"
"23","24","23","25","6","2018-09-14","0"
"23","24","23","25","6","2018-09-28","0"
"23","24","23","25","6","2018-10-12","0"
"23","24","23","25","6","2018-10-26","0"
"23","24","23","25","6","2018-11-09","0"
"23","24","23","25","6","2018-11-23","0"
"23","24","23","25","6","2018-12-07","0"
"23","24","23","25","6","2018-12-21","0"
"23","24","23","25","6","2019-01-04","0"
"23","24","23","25","6","2019-01-18","0"
"23","24","23","25","6","2019-02-01","0"
"25","26","25","27","6","2019-02-15","0"
"23","24","23","25","6","2019-03-01","0"
"10","10","10","11","3","2019-03-15","0"
"3","3","3","4","1","2019-03-29","0"
"20","21","20","21","5","2019-04-12","0"
"23","24","23","25","6","2019-04-26","0"
"7","7","7","7","2","2019-05-10","0"
"20","21","20","71","5","2019-05-24","0"
"31","33","31","113","8","2019-06-07","0"
"23","24","23","83","6","2019-06-21","0"
"21","22","21","77","6","2019-07-05","0"
"23","24","23","83","6","2019-07-19","0"
"23","24","23","83","6","2019-08-02","0"
"20","21","20","71","5","2019-08-16","0"
"23","24","23","83","6","2019-08-30","0"
"23","24","23","83","6","2019-09-13","0"
"25","26","25","89","6","2019-09-27","0"
"21","22","21","77","6","2019-10-11","0"
"25","26","25","89","6","2019-10-25","0"
"18","19","18","65","5","2019-11-08","0"
"25","26","25","89","6","2019-11-22","0"
"23","24","23","83","6","2019-12-06","0"
"28","29","28","101","7","2019-12-20","0"
"25","26","25","89","6","2020-01-03","0"
"23","24","23","83","6","2020-01-17","0"
"21","22","21","77","6","2020-01-31","0"
"23","24","23","83","6","2020-02-14","0"
"31","33","31","113","8","2020-02-28","0"
"25","26","25","89","6","2020-03-13","0"
"25","26","25","89","6","2020-03-27","0"
"25","26","25","89","6","2020-04-10","0"
"25","26","25","89","6","2020-04-24","0"
"25","26","25","89","6","2020-05-08","0"
"23","24","23","83","6","2020-05-22","0"
"30","31","30","107","8","2020-06-05","0"
"21","22","21","77","6","2020-06-19","0"
"25","26","25","89","6","2020-07-03","0"
"20","21","20","71","5","2020-07-17","0"
"23","24","23","83","6","2020-07-31","0"
"20","21","20","71","5","2020-08-14","0"
"26","27","26","95","7","2020-08-28","0"
"33","34","33","119","9","2020-09-11","0"
"23","24","23","83","6","2020-09-25","0"
"25","26","25","89","6","2020-10-09","0"
"33","34","33","119","9","2020-10-23","0"
"31","33","31","113","8","2020-11-06","0"
"26","27","26","95","7","2020-11-20","0"
"23","24","23","83","6","2020-12-04","0"
"26","27","26","95","7","2020-12-18","0"
"33","34","33","119","9","2021-01-01","0"
"28","29","28","101","7","2021-01-15","0"
"30","31","30","107","8","2021-01-29","0"
"16","17","16","59","4","2021-02-12","0"
"26","27","26","95","7","2021-02-26","0"
"23","24","23","83","6","2021-03-12","0"
"23","24","23","83","6","2021-03-26","0"
"23","24","23","83","6","2021-04-09","0"
"23","24","23","83","6","2021-04-23","0"
"25","26","25","89","6","2021-05-07","0"
"23","24","23","83","6","2021-05-21","0"
