"9","492","597","date","other"
"9","9","9","2019-03-13","0"
"20","20","22","2019-03-27","0"
"19","19","20","2019-04-10","0"
"20","20","22","2019-04-24","0"
"9","9","9","2019-05-08","0"
"11","11","13","2019-05-22","0"
"20","20","22","2019-06-05","0"
"20","20","22","2019-06-19","0"
"19","19","20","2019-07-03","0"
"20","20","22","2019-07-17","0"
"20","20","22","2019-07-31","0"
"17","17","19","2019-08-14","0"
"20","20","22","2019-08-28","0"
"21","21","24","2019-09-11","0"
"20","20","22","2019-09-25","0"
"20","20","22","2019-10-09","0"
"17","17","19","2019-10-23","0"
"20","20","22","2019-11-06","0"
"21","21","24","2019-11-20","0"
"21","21","24","2019-12-04","0"
"19","19","20","2019-12-18","0"
"21","21","24","2020-01-01","0"
"20","20","22","2020-01-15","0"
"21","21","24","2020-01-29","0"
"19","19","20","2020-02-12","0"
"20","20","22","2020-02-26","0"
"17","17","19","2020-03-11","0"
"17","17","19","2020-03-25","0"
"21","21","24","2020-04-08","0"
"20","20","22","2020-04-22","0"
"20","20","22","2020-05-06","0"
"24","24","27","2020-05-20","0"
"19","19","20","2020-06-03","0"
"19","19","20","2020-06-17","0"
"20","20","22","2020-07-01","0"
"17","17","19","2020-07-15","0"
"23","23","25","2020-07-29","0"
"16","16","17","2020-08-12","0"
"20","20","22","2020-08-26","0"
"20","20","22","2020-09-09","0"
"20","20","22","2020-09-23","0"
"21","21","24","2020-10-07","0"
"17","17","19","2020-10-21","0"
"20","20","22","2020-11-04","0"
"21","21","24","2020-11-18","0"
"17","17","19","2020-12-02","0"
"20","20","22","2020-12-16","0"
"17","17","19","2020-12-30","0"
"24","24","27","2021-01-13","0"
"20","20","22","2021-01-27","0"
"11","11","13","2021-02-10","0"
"19","19","20","2021-02-24","0"
"20","20","22","2021-03-10","0"
"20","20","22","2021-03-24","0"
"20","20","22","2021-04-07","0"
"20","20","22","2021-04-21","0"
"20","20","22","2021-05-05","0"
"21","21","24","2021-05-19","0"
