"19","492","597","date","other"
"11","11","11","2017-02-17","0"
"20","20","20","2017-03-03","0"
"11","11","11","2018-03-16","0"
"15","15","16","2018-03-30","0"
"14","14","14","2018-04-13","0"
"21","21","22","2018-04-27","0"
"21","21","22","2018-05-11","0"
"21","22","23","2018-05-25","0"
"20","20","21","2018-06-08","0"
"21","22","23","2018-06-22","0"
"21","22","23","2018-07-06","0"
"21","22","23","2018-07-20","0"
"21","22","23","2018-08-03","0"
"21","22","23","2018-08-17","0"
"21","22","23","2018-08-31","0"
"21","22","23","2018-09-14","0"
"21","22","23","2018-09-28","0"
"21","22","23","2018-10-12","0"
"21","22","23","2018-10-26","0"
"21","22","23","2018-11-09","0"
"21","22","23","2018-11-23","0"
"21","22","23","2018-12-07","0"
"21","22","23","2018-12-21","0"
"21","22","23","2019-01-04","0"
"23","24","25","2019-01-18","0"
"21","22","23","2019-02-01","0"
"21","22","23","2019-02-15","0"
"23","24","25","2019-03-01","0"
"9","9","10","2019-03-15","0"
"6","6","7","2019-03-29","0"
"20","20","21","2019-04-12","0"
"21","22","23","2019-04-26","0"
"6","6","7","2019-05-10","0"
"17","17","18","2019-05-24","0"
"23","24","25","2019-06-07","0"
"21","22","23","2019-06-21","0"
"21","22","23","2019-07-05","0"
"20","20","21","2019-07-19","0"
"26","27","29","2019-08-02","0"
"20","20","22","2019-08-16","0"
"23","24","26","2019-08-30","0"
"20","20","22","2019-09-13","0"
"23","24","26","2019-09-27","0"
"24","25","27","2019-10-11","0"
"21","22","24","2019-10-25","0"
"20","20","22","2019-11-08","0"
"24","25","26","2019-11-22","0"
"23","24","25","2019-12-06","0"
"27","28","30","2019-12-20","0"
"33","34","36","2020-01-03","0"
"31","32","33","2020-01-17","0"
"31","32","33","2020-01-31","0"
"29","30","31","2020-02-14","0"
"40","41","42","2020-02-28","0"
"33","34","35","2020-03-13","0"
"44","46","47","2020-03-27","0"
"40","41","42","2020-04-10","0"
"31","32","33","2020-04-24","0"
"35","37","38","2020-05-08","0"
"31","32","33","2020-05-22","0"
"40","41","42","2020-06-05","0"
"29","30","31","2020-06-19","0"
"31","32","33","2020-07-03","0"
"31","32","33","2020-07-17","0"
"71","73","75","2020-07-31","0"
"27","27","28","2020-08-14","0"
"35","37","38","2020-08-28","0"
"35","37","38","2020-09-11","0"
"29","30","31","2020-09-25","0"
"44","46","47","2020-10-09","0"
"38","39","40","2020-10-23","0"
"40","41","42","2020-11-06","0"
"38","39","40","2020-11-20","0"
"35","37","38","2020-12-04","0"
"40","41","42","2020-12-18","0"
"33","34","35","2021-01-01","0"
"40","41","42","2021-01-15","0"
"38","39","40","2021-01-29","0"
"27","27","28","2021-02-12","0"
"33","34","35","2021-02-26","0"
"31","32","33","2021-03-12","0"
"31","32","33","2021-03-26","0"
"33","34","35","2021-04-09","0"
"31","32","33","2021-04-23","0"
"31","32","33","2021-05-07","0"
"31","32","33","2021-05-21","0"
