"492","1664","date","other"
"18","","2018-01-04","0"
"20","2","2018-01-18","0"
"18","4","2018-02-01","0"
"20","5","2018-02-15","0"
"21","5","2018-03-01","0"
"18","4","2018-03-15","0"
"20","5","2018-03-29","0"
"20","5","2018-04-12","0"
"22","5","2018-04-26","0"
"22","5","2018-05-10","0"
"22","5","2018-05-24","0"
"22","5","2018-06-07","0"
"22","5","2018-06-21","0"
"22","5","2018-07-05","0"
"22","5","2018-07-19","0"
"22","5","2018-08-02","0"
"22","5","2018-08-16","0"
"22","5","2018-08-30","0"
"22","5","2018-09-13","0"
"22","5","2018-09-27","0"
"22","5","2018-10-11","0"
"22","5","2018-10-25","0"
"22","5","2018-11-08","0"
"22","5","2018-11-22","0"
"22","5","2018-12-06","0"
"22","5","2018-12-20","0"
"22","5","2019-01-03","0"
"22","5","2019-01-17","0"
"22","5","2019-01-31","0"
"22","5","2019-02-14","0"
"22","5","2019-02-28","0"
"20","5","2019-03-14","0"
"19","4","2019-03-28","0"
"22","5","2019-04-11","0"
"22","5","2019-04-25","0"
"9","2","2019-05-09","0"
"13","3","2019-05-23","0"
"25","5","2019-06-06","0"
"21","5","2019-06-20","0"
"21","5","2019-07-04","0"
"23","5","2019-07-18","0"
"23","5","2019-08-01","0"
"21","5","2019-08-15","0"
"21","5","2019-08-29","0"
"21","5","2019-09-12","0"
"23","5","2019-09-26","0"
"23","5","2019-10-10","0"
"21","5","2019-10-24","0"
"21","5","2019-11-07","0"
"23","5","2019-11-21","0"
"23","5","2019-12-05","0"
"25","5","2019-12-19","0"
"21","5","2020-01-02","0"
"26","6","2020-01-16","0"
"23","5","2020-01-30","0"
"21","5","2020-02-13","0"
"23","5","2020-02-27","0"
"21","5","2020-03-12","0"
"23","5","2020-03-26","0"
"21","5","2020-04-09","0"
"21","5","2020-04-23","0"
"25","5","2020-05-07","0"
"23","5","2020-05-21","0"
"23","5","2020-06-04","0"
"23","5","2020-06-18","0"
"25","5","2020-07-02","0"
"20","4","2020-07-16","0"
"23","5","2020-07-30","0"
"21","5","2020-08-13","0"
"25","5","2020-08-27","0"
"21","5","2020-09-10","0"
"25","5","2020-09-24","0"
"26","6","2020-10-08","0"
"23","5","2020-10-22","0"
"28","6","2020-11-05","0"
"23","5","2020-11-19","0"
"23","5","2020-12-03","0"
"26","6","2020-12-17","0"
"26","6","2020-12-31","0"
"25","5","2021-01-14","0"
"28","6","2021-01-28","0"
"15","3","2021-02-11","0"
"31","7","2021-02-25","0"
"25","5","2021-03-11","0"
"23","5","2021-03-25","0"
"23","5","2021-04-08","0"
"23","5","2021-04-22","0"
"23","5","2021-05-06","0"
"23","5","2021-05-20","0"
