"21","122","492","5577","date","other"
"8","8","7","4","2018-03-15","0"
"11","11","10","6","2018-03-29","0"
"14","14","13","8","2018-04-12","0"
"20","20","19","11","2018-04-26","0"
"23","24","21","13","2018-05-10","0"
"21","22","20","12","2018-05-24","0"
"21","22","20","12","2018-06-07","0"
"21","22","20","12","2018-06-21","0"
"21","22","20","12","2018-07-05","0"
"21","22","20","12","2018-07-19","0"
"21","22","20","12","2018-08-02","0"
"21","22","20","12","2018-08-16","0"
"21","22","20","12","2018-08-30","0"
"21","22","20","12","2018-09-13","0"
"21","22","20","12","2018-09-27","0"
"21","22","20","12","2018-10-11","0"
"21","22","20","12","2018-10-25","0"
"21","22","20","12","2018-11-08","0"
"21","22","20","12","2018-11-22","0"
"21","22","20","12","2018-12-06","0"
"21","22","20","12","2018-12-20","0"
"21","22","20","12","2019-01-03","0"
"21","22","20","12","2019-01-17","0"
"21","22","20","12","2019-01-31","0"
"28","29","27","12","2019-02-14","0"
"31","32","30","12","2019-02-28","0"
"16","16","15","6","2019-03-14","0"
"9","9","9","3","2019-03-28","0"
"31","32","30","12","2019-04-11","0"
"31","32","30","12","2019-04-25","0"
"11","11","11","4","2019-05-09","0"
"22","23","21","9","2019-05-23","0"
"35","37","34","14","2019-06-06","0"
"31","32","30","12","2019-06-20","0"
"33","34","32","13","2019-07-04","0"
"31","32","30","12","2019-07-18","0"
"33","34","32","13","2019-08-01","0"
"33","34","32","13","2019-08-15","0"
"33","34","32","13","2019-08-29","0"
"29","30","28","11","2019-09-12","0"
"38","39","36","15","2019-09-26","0"
"40","41","39","15","2019-10-10","0"
"35","37","34","14","2019-10-24","0"
"27","27","26","10","2019-11-07","0"
"29","30","28","11","2019-11-21","0"
"35","37","34","14","2019-12-05","0"
"33","34","32","13","2019-12-19","0"
"24","25","24","9","2020-01-02","0"
"35","37","34","14","2020-01-16","0"
"33","34","32","13","2020-01-30","0"
"31","32","30","12","2020-02-13","0"
"38","39","36","15","2020-02-27","0"
"33","34","32","13","2020-03-12","0"
"38","39","36","15","2020-03-26","0"
"33","34","32","13","2020-04-09","0"
"31","32","30","12","2020-04-23","0"
"31","32","30","12","2020-05-07","0"
"31","32","30","12","2020-05-21","0"
"33","34","32","13","2020-06-04","0"
"31","32","30","12","2020-06-18","0"
"31","32","30","12","2020-07-02","0"
"29","30","28","11","2020-07-16","0"
"31","32","30","12","2020-07-30","0"
"24","25","24","9","2020-08-13","0"
"31","32","30","12","2020-08-27","0"
"38","39","36","15","2020-09-10","0"
"33","34","32","13","2020-09-24","0"
"31","32","30","12","2020-10-08","0"
"31","32","30","12","2020-10-22","0"
"35","37","34","14","2020-11-05","0"
"40","41","39","15","2020-11-19","0"
"35","37","34","14","2020-12-03","0"
"33","34","32","13","2020-12-17","0"
"31","32","30","12","2020-12-31","0"
"35","37","34","14","2021-01-14","0"
"42","43","41","16","2021-01-28","0"
"22","23","21","9","2021-02-11","0"
"33","34","32","13","2021-02-25","0"
"31","32","30","12","2021-03-11","0"
"31","32","30","12","2021-03-25","0"
"31","32","30","12","2021-04-08","0"
"31","32","30","12","2021-04-22","0"
"31","32","30","12","2021-05-06","0"
"31","32","30","12","2021-05-20","0"
