"21","597","1738","date","other"
"11","11","3","2020-04-08","0"
"21","21","6","2020-04-22","0"
"23","23","6","2020-05-06","0"
"24","24","7","2020-05-20","0"
"23","23","6","2020-06-03","0"
"23","23","6","2020-06-17","0"
"23","23","6","2020-07-01","0"
"18","18","5","2020-07-15","0"
"24","24","7","2020-07-29","0"
"20","20","6","2020-08-12","0"
"26","26","7","2020-08-26","0"
"21","21","6","2020-09-09","0"
"21","21","6","2020-09-23","0"
"24","24","7","2020-10-07","0"
"21","21","6","2020-10-21","0"
"21","21","6","2020-11-04","0"
"26","26","7","2020-11-18","0"
"23","23","6","2020-12-02","0"
"23","23","6","2020-12-16","0"
"21","21","6","2020-12-30","0"
"24","24","7","2021-01-13","0"
"26","26","7","2021-01-27","0"
"14","14","4","2021-02-10","0"
"23","23","6","2021-02-24","0"
"21","21","6","2021-03-10","0"
"21","21","6","2021-03-24","0"
"21","21","6","2021-04-07","0"
"21","21","6","2021-04-21","0"
"26","26","7","2021-05-05","0"
"21","21","6","2021-05-19","0"
