"492","597","1664","date","other"
"15","15","","2018-02-15","0"
"13","13","","2018-03-01","0"
"12","12","","2018-03-15","0"
"8","8","","2018-03-29","0"
"15","15","","2018-04-12","0"
"23","23","","2018-04-26","0"
"25","25","","2018-05-10","0"
"23","23","","2018-05-24","0"
"23","23","","2018-06-07","0"
"23","23","","2018-06-21","0"
"23","23","","2018-07-05","0"
"23","23","","2018-07-19","0"
"23","23","","2018-08-02","0"
"23","23","","2018-08-16","0"
"23","23","","2018-08-30","0"
"23","23","","2018-09-13","0"
"23","23","","2018-09-27","0"
"23","23","","2018-10-11","0"
"23","23","","2018-10-25","0"
"23","23","","2018-11-08","0"
"23","23","","2018-11-22","0"
"23","23","","2018-12-06","0"
"23","23","","2018-12-20","0"
"23","23","","2019-01-03","0"
"23","23","","2019-01-17","0"
"23","23","","2019-01-31","0"
"23","23","","2019-02-14","0"
"23","23","","2019-02-28","0"
"12","12","","2019-03-14","0"
"7","7","","2019-03-28","0"
"23","23","","2019-04-11","0"
"23","23","","2019-04-25","0"
"10","10","","2019-05-09","0"
"15","15","","2019-05-23","0"
"25","25","","2019-06-06","0"
"23","23","","2019-06-20","0"
"23","23","","2019-07-04","0"
"23","23","","2019-07-18","0"
"23","23","","2019-08-01","0"
"25","25","","2019-08-15","0"
"23","23","","2019-08-29","0"
"25","25","","2019-09-12","0"
"23","23","","2019-09-26","0"
"23","23","","2019-10-10","0"
"25","25","","2019-10-24","0"
"21","21","11","2019-11-07","0"
"23","23","14","2019-11-21","0"
"26","26","16","2019-12-05","0"
"28","28","17","2019-12-19","0"
"23","23","14","2020-01-02","0"
"25","25","15","2020-01-16","0"
"26","26","16","2020-01-30","0"
"26","26","16","2020-02-13","0"
"23","23","14","2020-02-27","0"
"30","30","18","2020-03-12","0"
"27","27","14","2020-03-26","0"
"35","35","15","2020-04-09","0"
"33","33","14","2020-04-23","0"
"38","38","16","2020-05-07","0"
"35","35","15","2020-05-21","0"
"40","40","17","2020-06-04","0"
"38","38","16","2020-06-18","0"
"40","40","17","2020-07-02","0"
"28","28","12","2020-07-16","0"
"42","42","18","2020-07-30","0"
"35","35","15","2020-08-13","0"
"33","33","14","2020-08-27","0"
"33","33","14","2020-09-10","0"
"35","35","15","2020-09-24","0"
"33","33","14","2020-10-08","0"
"35","35","15","2020-10-22","0"
"45","45","19","2020-11-05","0"
"38","38","16","2020-11-19","0"
"47","47","20","2020-12-03","0"
"31","31","13","2020-12-17","0"
"40","40","17","2020-12-31","0"
"45","45","19","2021-01-14","0"
"52","52","22","2021-01-28","0"
"28","28","12","2021-02-11","0"
"40","40","17","2021-02-25","0"
"33","33","14","2021-03-11","0"
"33","33","14","2021-03-25","0"
"38","38","16","2021-04-08","0"
"33","33","14","2021-04-22","0"
"35","35","15","2021-05-06","0"
"33","33","14","2021-05-20","0"
